run_id,run_name,experiment_id,experiment_name,epoch,accuracy,val_accuracy,val_loss,loss,learning_rate
8576111567944aaf8de136748671418a,finetune_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,0,0.9561308026313782,0.9989602565765381,0.011391726322472095,0.13356925547122955,9.999999747378752e-06
8576111567944aaf8de136748671418a,finetune_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,1,0.9561308026313782,0.9989602565765381,0.011391726322472095,0.13356925547122955,9.999999747378752e-06
698d36f1a7ec4e23af37fd29b62b911c,warmup_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,0,0.6888611912727356,0.8172177076339722,0.4084267318248749,0.7617537975311279,9.999999747378752e-05
698d36f1a7ec4e23af37fd29b62b911c,warmup_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,1,0.8356463313102722,0.8669161796569824,0.30261537432670593,0.41340118646621704,9.999999747378752e-05
698d36f1a7ec4e23af37fd29b62b911c,warmup_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,2,0.8773844838142395,0.8785610198974609,0.2651979327201843,0.3267345130443573,9.999999747378752e-05
698d36f1a7ec4e23af37fd29b62b911c,warmup_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,3,0.8960964679718018,0.9076731204986572,0.22536687552928925,0.28228089213371277,9.999999747378752e-05
698d36f1a7ec4e23af37fd29b62b911c,warmup_mobnet_orinetation_classifier_1B,279989741588416746,orientation_classifier,4,0.9119496941566467,0.9236847758293152,0.2010565996170044,0.24887417256832123,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,0,0.9198502898216248,0.9076731204986572,0.20427803695201874,0.22971242666244507,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,1,0.9279588460922241,0.9164067506790161,0.19101636111736298,0.2103569358587265,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,2,0.928634524345398,0.9234768152236938,0.17983002960681915,0.20069719851016998,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,3,0.93507981300354,0.9247244596481323,0.17584092915058136,0.18867707252502441,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,4,0.9378865957260132,0.9417758584022522,0.15413235127925873,0.17813770473003387,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,5,0.9427725076675415,0.9384487271308899,0.15812236070632935,0.17072105407714844,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,6,0.9415250420570374,0.9382408261299133,0.15518875420093536,0.16568420827388763,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,7,0.9466708302497864,0.940112292766571,0.15112023055553436,0.15740866959095,9.999999747378752e-05
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,8,0.9478143453598022,0.9367852210998535,0.1552586555480957,0.15311643481254578,9.999999747378752e-06
89a7e7a8059a4606901d0e2efec26156,mobnet_warmup_phase,279989741588416746,orientation_classifier,9,0.9378865957260132,0.9417758584022522,0.15413235127925873,0.17813770473003387,9.999999747378752e-05
828bba2e576a4a3ea8a59f81eb3691e5,mobnet_warmup_phase,279989741588416746,orientation_classifier,0,0.6468631625175476,0.849656879901886,0.4093549847602844,0.8772016167640686,9.999999747378752e-05
828bba2e576a4a3ea8a59f81eb3691e5,mobnet_warmup_phase,279989741588416746,orientation_classifier,1,0.8434950113296509,0.8737783432006836,0.2988242208957672,0.4274306297302246,9.999999747378752e-05
828bba2e576a4a3ea8a59f81eb3691e5,mobnet_warmup_phase,279989741588416746,orientation_classifier,2,0.8840376138687134,0.8750259876251221,0.2661488354206085,0.327362596988678,9.999999747378752e-05
828bba2e576a4a3ea8a59f81eb3691e5,mobnet_warmup_phase,279989741588416746,orientation_classifier,3,0.8997868895530701,0.8927012085914612,0.23653878271579742,0.2817234992980957,9.999999747378752e-05
828bba2e576a4a3ea8a59f81eb3691e5,mobnet_warmup_phase,279989741588416746,orientation_classifier,4,0.9142367243766785,0.9099605083465576,0.21003787219524384,0.250189870595932,9.999999747378752e-05
