accuracy,val_accuracy,loss,val_loss,learning_rate,epoch,run_id,run_name
0.4740452170372009,0.7376844882965088,1.2559640407562256,1.04141104221344,0.0010000000474974513,0,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.6398025751113892,0.8430679440498352,1.0703442096710205,0.8722216486930847,0.0010000000474974513,1,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.7287607192993164,0.896695077419281,0.9574235081672668,0.7593851089477539,0.0010000000474974513,2,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.7648220062255859,0.88214510679245,0.877697765827179,0.6798105835914612,0.0010000000474974513,3,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.7868537306785583,0.8981500864028931,0.8187569975852966,0.6164242625236511,0.0010000000474974513,4,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8011431694030762,0.9176886081695557,0.7659299373626709,0.5620764493942261,0.0010000000474974513,5,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8099766373634338,0.9099979400634766,0.7264755368232727,0.5202293395996094,0.0010000000474974513,6,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8242141008377075,0.9058407545089722,0.6934581995010376,0.4980514943599701,0.0010000000474974513,7,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8315926194190979,0.9339014887809753,0.6605141758918762,0.46238046884536743,0.0010000000474974513,8,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8322161436080933,0.9305757880210876,0.6389420628547668,0.43837279081344604,0.0010000000474974513,9,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8460379242897034,0.9197672009468079,0.6110782027244568,0.42202386260032654,0.0010000000474974513,10,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.84754478931427,0.9218457937240601,0.5956848859786987,0.41384199261665344,0.0010000000474974513,11,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8604832291603088,0.9318228960037231,0.5733795166015625,0.38452741503715515,0.0010000000474974513,12,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8622499108314514,0.941800057888031,0.5563175678253174,0.3570006191730499,0.0010000000474974513,13,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.862197995185852,0.9193514585494995,0.5442808866500854,0.36565402150154114,0.0010000000474974513,14,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8680176734924316,0.9399293065071106,0.5242461562156677,0.33767229318618774,0.0010000000474974513,15,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8785658478736877,0.9478278756141663,0.5169827938079834,0.33347582817077637,0.00010000000474974513,16,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8779942989349365,0.9474121928215027,0.5110760927200317,0.33035045862197876,0.00010000000474974513,17,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8805403709411621,0.9463728666305542,0.5073412656784058,0.3310668468475342,0.00010000000474974513,18,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8801766633987427,0.9463728666305542,0.5119878053665161,0.3322072923183441,1.0000000656873453e-05,19,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
0.8804364800453186,0.9453336000442505,0.5097914338111877,0.33264219760894775,1.0000000656873453e-05,20,orientation_classifier_aug_head1_resnet50,orientation_classifier_aug_head1_resnet50
