accuracy,val_accuracy,loss,val_loss,learning_rate,epoch,run_id,run_name
0.8702000379562378,0.8842236399650574,0.32721588015556335,0.23228828608989716,0.0010000000474974513,0,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9373863339424133,0.95489501953125,0.1741330623626709,0.12375563383102417,0.0010000000474974513,1,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9436216950416565,0.9596757292747498,0.1481045037508011,0.11764161288738251,0.0010000000474974513,2,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9522473216056824,0.9596757292747498,0.13084469735622406,0.1148151233792305,0.0010000000474974513,3,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9563522934913635,0.9627935886383057,0.11948016285896301,0.11029556393623352,0.00010000000474974513,4,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9598337411880493,0.9602993130683899,0.11520271003246307,0.1128104031085968,0.00010000000474974513,5,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9586905837059021,0.9644564390182495,0.11603466421365738,0.1045934334397316,0.00010000000474974513,6,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9600415825843811,0.9625857472419739,0.11417366564273834,0.1105678454041481,1.0000000656873453e-05,7,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9618082642555237,0.9623779058456421,0.10948403924703598,0.11111345887184143,1.0000000656873453e-05,8,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
0.9574434757232666,0.9623779058456421,0.11241956800222397,0.11055219173431396,1.0000000656873453e-05,9,orientation_classifier_aug_head1_mobnet,orientation_classifier_aug_head1_mobnet
